,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 li, ɪx, , hɛː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈslɔː.pə, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ln, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 lo, kʰɔːj˨˩, , kʰao˩˨, pʰuak˥˧ hau˦˥, tɕao˥˦, , niː˥˦, , , nan˥˦, , ɲaŋ˩˨, , mɯa˧˧, , bɔː˧˧, , , , nɔːj˥˧, , nɯŋ˧˧, sɔːŋ˩˧, saːm˩˧, siː˧˧, haː˨˩, , , kwaːŋ˥˧, , , , , , baːŋ˩˨, pʰuː˨˩ ɲiŋ˦˥, ma˧˧ nut˧˧, , , mia˦˥, pʰua˩˨, mɛː˧˧, pʰɔː˦, sat˦˥, pa᷅ː, nok˦, maː˩˨, , ŋuː˦˥, , ton˥˧ mai˥˧, , , , , baɯ˩˨, hâːk, , dɔːk˨˩ mai˥˦, ɲaː˨˩, , , , , , , kʰāi, kʰao˩˨, , , , hua˩˨, , taː˩˨, daŋ˩˧, , kʰɛːw˨˩, , , , kʰaː˩˨, , mɯː˦˥, , , , , laŋ˩˧, tuː˥˦, tɕai˩˨, tap˦˥, dɯːm˦˦, kin˩˧ kʰau˨˩, , , , , , , , hen˩˧, , huː˥˧, , , , nɔːn˦˥, , taːj˩˧, kʰaː˨˩, tɔː˧˧ suː˨˩, , , , , , , , , , ɲaːŋ˧˧, maː˦˥, , naŋ˧˧, , , , mɔːp˥˦, tʰɯː˩˨, , , , , , , , , , , waw˥˦, , , , , , , taː˩˨ wen˦˥, , daːu˩˨, nam˥˦, , mɛː˧˧ nam˥˧, nɔːŋ˩˨, , kɯa˩˨, , , , , mêːk, , , lom˦˥, , , , fai˦˥, , , , pʰu᷄ː, , , , , dam˩˨, , wan˦˥, piː˩˨, , , , mai˧˧, kau˧˧, , , , , , , , , , , , kɛ᷈ː, , , , , tʰiː˧˧, naɯ˦˥, , lɛʔ˦, , , sɯː˦˦
 lt, ɐʂ, tʊ, jɪs, mʲæːs, tʊ, jæ, , , tʃʲɛ, , , , kʊr, kɐˈdɐ, kaɪˑp, , ˈvʲɪ.sɐs, dɐuɡ, , , , , , , kʲɛt̪ʊˈrʲɪ, , , , , , sʊŋˈkʊs, ˈmaːʒɐs, , , , ˈmoːtʲɛrʲɪs, ʒmoˈɡʊs, , ˈvɐɪ̯ˑkɐs̪, , ˈʋʲiːrɐs, , ˈtʲeːvɐs, ɡʲiːˈʋuːnɐs, , ˈpɒʊk.ʃtʲɪs, ʂuə, , ɡʲiːˈʋaːtʲeː, , ˈmʲæːdʲɪs, ˈmɪʂ.kɐs, lɐzˈdɐ, ˈvai̯sʲʊs, ˈsʲeːklɐ, , ʃɐkʲˈn̪ʲɪs̪, ʒʲɪəˈvʲěː, , ʒoˈlʲeː, , ˈôːd̪ɐ, , krɒ͜úˑjæs, ˈkä̂ˑʊ̯ɫɐs̪, rʲɪəbɐˈlɐɪ̯ˑ, , ˈrä̌ːɡɐs̪, , , , , ɐʊˈsʲɪs, ɐˈkʲɪs, , bʊrˈnɐ, , , , , , ˈkʲæ̌ːlʲɪs, ɾɐŋˈkɐ, , , , ˈkä̌ːklɐs̪, ˈn̪ʊɡɐrɐ, , ʃʲɪrʲˈdʲɪs, , ˈɡʲɛrʲ.tʲɪ, , , ˈtʲʃʲʊlʲpʲtʲɪ, , , ˈpǔːsʲtʲɪ, , , mɐˈtʲîːtʲɪ, , ʒɪˈnoː.tʲɪ, , , , , ɡiˈʋæntɪ, ˈmʲɪrʲ.tʲɪ, , , mʲɛˈdʲʒʲotʲɪ, , , , , , , ˈpɫɒʊ̯ˑkʲtʲɪ, , ˈɛjːtʲɪ, ɐˈtʲɛjːtʲɪ, ˈmʲæːɫas, sʲeːˈdʲeːtʲɪ, , , , ˈduɔtʲɪ, tʊˈɾʲeːtʲɪ, , , , , , , ˈmʲɛsʲtʲɪ, ˈrʲɪʃʲtʲɪ, ˈsʲuːtʲɪ, , sɐˈkʲiːtʲɪ, dɐjˈnuɔtʲɪ, ˈʒɐjsʲtʲɪ, , ˈbʲeːk.tʲɪ, , , ˈsɑuleː, mʲeːˈnʊlʲɪs, ʒʋɐjɡʲʒʲˈdʲeː, , ljɛˈtʊs, ˈʊpʲeː, ˈæːʒʲɛɾɐs, ˈjuːrɐ, , , , , ˈʒʲæːmʲeː, , ˈruːkɐs, dɐŋˈɡʊs, ˈʋʲeːjɛs, sʲnʲjæɡɐs, , , ʊɡˈnʲɪs, , , ˈkælʲɐs, ˈka͡l.nɐs, rɐʊˈdoːnɐs, , , ˈbaːltɐs, ˈjûə.dɐs, nɐkˈtɪs, , , ˈʃʲɪltɐs, ˈʃaltɐs, , , ˈsʲæːnɐs, ˈɡʲæɾɐs, ˈbloːɡɐs, , , , , ɐʃt̪ˈrʊs̪, , , , , , , , , , pɐs, , sʊ, , jæj, nʲɛs, ˈvɐrːdɐs
 lu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 lv, ɛs, , viɲʃ, mɛ̄ːs, tu, , ʃis, tas, , tùɾ, , , kùɾ, , , , , dāūdz, , , , viɛ̂ns, , trîːs, tsætri, pìɛtsi, , , plats, , smaks, , îːs, ʃàuɾs, tiêws, , tsìlvæ̀ːks, , bæ̀ːɾns, sīɛ̄va, vīːɾs, māːtɛ, tǣːws, dzîunìɛks, ziws, , , , tʃūska, , kùoks, , , âwɡlis, , , , , , , àwkla, âːda, ɡaʎa, asinis, , , uōla, ɾaks, astɛ, spālva, mats, ɡâlva, àws, ats, , mutɛ, zùops, mɛ̀ːlɛ, , , kāːja, tsɛlis, ɾùoka, spàːɾns, , , , , , sîɾts, aknas, dzɛɾ̂t, , kuôst, sùːkt, spʎāwt, , , , , ɾɛdzɛ̂ːt, dzìɾdɛ̂ːt, zinâːt, , , bâjlɛs, ɡulɛ̂ːt, dzîːvuôt, mīɾt, nâːvɛ̂ːt, , , , ɡrīɛ̄st, , , , ɾakt, pɛ̄ldɛ̂ːt, muʃa, iɛ̂t, nāːkt, , , stāːvɛ̂ːt, , , duôt, tuɾɛ̂ːt, , , mazɡâːt, slāwtsîːt, , , mest, , ʃūːt, skàjtîːt, satsîːt, dziɛ̂dâːt, , , , , , sāūle, , zvàjɡznɛ, ûːdɛns, liɛ̂tus, , æzæɾs, jūːɾa, sàːls, , , , zɛmɛ, , , , vɛ̄ːjʃ, snìɛks, lædus, , uɡuns, , dekt, tsɛʎʃ, kâlns, sâɾkans, zaʎʃ, dzæ̀ltæns, bālts, mǣlns, nakts, , , sīlts, āūksts, pīlns, jaûns, , , , , nɛtīːɾs, , , as, , , slapʲʃ, sàws, paɾɛ̄īs, , tâːls, , kɾèjs, , , , ùn, , , vàːɾds
 mg, ˈa.u, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈa.la, , , , , , , , aʔit͡ʂạ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , afʷ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 mh, , , , , , , , , , , , , , , , , , , , , , tʲɨwɜnʲ, rˠɨwɜw, tʲɨlʲɨw, jɜmʲanʲ, lˠalʲɘmʲ, , , , , , , , , , , , , , , , , , , jɘk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , pˠɘkʷ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 mi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈpʉːkʉː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 mk, jas, ti, tɔj, niɛ, ti, tiɛ, ˈɔvɔj, , ˈtuka, ˈtamu, kɔj, , ˈkadɛ, ˈkɔɡa, ˈkakɔ, , ˈsitɛ, ˈmnɔɡu, , ˈmaɫku, , , , , , , ˈɡɔlɛm, , , , ˈtɛʒɔk, maɫ, ˈkratɔk, , ˈtɛnɔk, ˈʒɛna, ˈt͡ʃɔvɛk, , ˈdɛtɛ, ˈʒɛna, maʃ, , , ʒiˈvɔtnɔ, , ˈpti.t͡sa, , ˈvɔʃka, , , , ˈʃuma, stap, , , , , , , , ˈjaʒɛ, , , kr̩f, , , ˈjajt͡sɛ, , ˈɔpaʃka, , ˈkɔsa, , ˈuvɔ, ˈɔkɔ, , , , ˈjazik, nɔkt, , , , , , mɛf, ˈt͡srɛva, vrat, ɡr̩p, ˈɡrada, ˈsr̩t͡sɛ, ˈd͡ʒiɡɛr, ˈpi.ɛ, ˈjadɛ, ɔdˈɡrizuva, ˈt͡sit͡sa, ˈpɫuka, ˈpɔvraca, ˈduva, , sɛ ˈsmɛ.ɛ, ˈɡlɛda, , , , , , , , , ˈubiva, , , , , , , , , , , ˈɔdi, , , , , , , , , , , , ˈbriʃɛ, , , , , , ˈbrɔi, , , , , , , , ˈsɔnt͡sɛ, , ˈd͡zvɛzda, , dɔʃt, , , , , , , , , , ˈmaɡla, , ˈvɛtɛr, , mras, , , , ˈɡɔɾi, , , , , , , , nɔc, , , , , , , , , , , , , , , , , , , , , , , , vɔ, vɔ, , i, ˈakɔ, , 
 ml, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ämːə, ətʃtʃhən, , , , nɑːjə, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , rɑːθri, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , peː.ɾʲə
 mn, , , , , , , , , , , , , , , , , , , , , , niɡ, xɔjər, ɢʊrəw, torəw, tʰaw, , , ɵrɡəŋ, t͡sʊt͡saŋ, xunt, , pɔɡʲən, narʲiŋ, , , , , , , , ix, , , t͡saɢəs, ʃʊwʊ, nɔxɔi, poːs, mɔɢɔi, , , , , ur, ur, , untəs, xɔɮtʰəs, , ows, , arʲs, max, t͡sʰʊs, , oːx, , ewər, , , , tʰɔɮɢɔi, t͡ɕʰix, , , am, ʃud, xiɮ, xʊms, , , owtəɡ, ɢar, , , , xut͡su, , , , iɮəɡ, , , xat͡səx, xɵxəx, , , uɮex, amʲsɢəɮəx, , ut͡səx, , mitəx, , , , , , , , , , , , , , , , seɮəx, , , irəx, xʊtəɮ, sʊːx, t͡sɔɡsəx, , ʊnəx, oɡəx, , , , , , tʰatʰəx, tuɮxəx, xajəx, , , , xiɮəx, , , , , , , , sar, , ʊs, , , nʊːr, taɮai, taws, , , , xors, , manəŋ, , saɮʲxʲ, t͡sʰas, mos, ʊtʰa, ɢaɮ, uns, , , ʊːɮ, , , ʃar, t͡sʰaɢaŋ, χar̊, , otər, , , , , ʃin, , sɛ̃ːŋ, mõː, , , , , , , , t͡ɕʰiːɡ, , , , χɔɬ, irx, , , tɔtʰər, , , , , nir
 mr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d͡zʱaɖ, , , , , , , , , , , , , , , , , , , , , , , , nak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , aɳi, , , 
 ms, sajə, əŋkau̯, diə, kami, kamu, mərekə, ini, itu, sini, , siapə, apə, di manə, bi.lə, , tidaʔ, səmuə, baɲak, , , , satu, duə, tiɡə, əmpat, limə, , , , , bərat, , , , , wanita, , , anaʔ, , suami, ibu, bapə, binataŋ, ikan, buroŋ, and͡ʒeŋ, kutu, ula(r), , pokokʔ, hutan, bataŋ, buah, bəneh, daon, aka(r), , buŋə, , tali, kulet, daɡeŋ, darah, tulaŋ, , təlo(r), , eko(r), , rambot, kəpalə, təliŋə, matə, hidoŋ, mulot, ɡiɡi, lidah, kuku, kaki, kaki, lutot, taŋan, , pərot, , lehe(r), bəlakaŋ, , d͡ʒantoŋ, hati, minom, , ɡiɡet, hisap, ludah, muntah, , bə(r)nafas, tawə, lihat, dəŋa(r), tahu, fike(r), bau, , tido(r), hidop, mati, məmbunoh, , , , , , , , ɡali, , lalat, , dataŋ, , dudoʔ, , , , bəri, , , , , , tareʔ, to.laʔ, , , , kirə, , , , , alo(r), , , matəhari, bulan, bintaŋ, , hud͡ʒan, suŋai̯, taseʔ, laot, , batu, pase(r), haboʔ, bumi, a.wan, kabos, laŋet, aŋen, , aes, asap, api, abu, , d͡ʒalan, ɡunoŋ, merah, hid͡ʒau̯, kuneŋ, puteh, hitam, , hari, tahon, haŋat, səd͡ʒoʔ, pənoh, baru, , baeʔ, , , koto(r), , , , , , basah, , bə.na(r), dəkat, d͡ʒaoh, , kiri, di, , də.ŋan, dan, ka.lau̯, kə.ra.nə, namə
 mt, jɪːn, , uː, , , ˈuːmɐ, , , aʊ̯n, ɛːmː, , , , , , , , , , , , , , , , , , twiːl, , , , zaˁjr, , , , , ˈbnɪːdɛm, , , , ˈraːdʒɛl, ɔmː, , , , asˈfuːr, kɛlp, , , , ˈsɪdʒrɐ, , , , zɛrˈrɪːja, ˈwɛrʔɐ, , , ˈfjuːrɐ, ħɐˈʃiːʃ, , ˈdʒɪldɐ, , dɛmː, ˈaˁːdmɐ, , ˈbɐjdɐ, , , ˈriːʃ, ʃaˁːr, ˈrɐːs, ˈwɪdnɐ, aˁːjn, , ħɐlʔ, ˈsɪnːɐ, , , , ˈrɪd͡ʒɛl, , , ˈd͡ʒwɪːnɐħ, zɐʔ, , , , , ˈʔɐlp, , ˈʃɔrɔp, , , , , , , , , , ˈsɐmɐ, , ˈħaːsɛp, , , ˈraːʔɐt, ɛˁːʃ, mɪːt, ˈʔaːtɛl, , , , , , , , , , dʊˈbːɪːnɐ, , , , ʔaˁːt, , , , , , , ˈɔˁːrɔk, , , , , , , , , , ˈkɐntɐ, , , , , , ʃɛmʃ, ˈʔaːmɐr, , , ˈʃɪtɐ, ˈʃmɐːrɐ, aˁːˈdiːr, ˈbaːħɐr, , , , , , ˈsħaːbɐ, , , riːħ, , θ, , , , , triːʔ, , ˈɐħmɐr, ˈɐħdɐr, ˈɪsfɐr, ˈɐbjɐt, ˈɪswɛt, lɛjl, , ˈsɛnɐ, , ˈkɪːsɐħ, , dʒdiːt, ʔɐˈdiːm, ˈtɐjːɛp, ħɐˈziːn, , , , , , , , , , , ʔriːp, , , ʃɛlːuːk, , , , , ˈjɛkː, , ˈiːsɛm
 my, t͡ɕʊ̀ɴdɔ̀/, , θù, t͡ɕoʊʔto̰, nɪ̀ɴ, θùdo̰, , hò, , hòm̥à, bəθù, bà, , bɛ̀dɔ̰, bɛ̀, mə, ʔálóʊɴ, mjá, tət͡ɕʰo̰, nɛ́, ʔət͡ɕʰá, tɪʔ, n̥ɪʔ, θóʊɴ, lé, ŋá, , ʃè, t͡ɕɛ̀, tʰù, lé, θé, tò, t͡ɕɪ́ɴ, pá, méɪɴma̰, lù, , kʰəlé, məjá, lɪ̀ɴ, , ʔəpʰè, təɹeɪʔsʰàɴ, ŋá, ŋ̊ɛʔ, kʰwé, θáɴ, mwè, tìɡàʊɴ, θɪʔpɪ̀ɴ, tɔ́, doʊʔ, ʔəθí, ʔəsḭ, ʔəjwɛʔ, ʔəmjɪʔ, ʔəkʰaʊʔ, páɴ, mjɛʔ, t͡ɕó, ʔəjè, ʔəθá, θwé, ʔəjó, ʔəsʰì, ʔṵ, d͡ʑò, ʔəmí, ʔətàʊɴ, zəbɪ̀ɴ, ɡáʊɴ, ná, mjɛʔsḭ, n̥əkʰáʊɴ, pəzaʔ, θwá, ʃà, lɛʔθɛ́, t͡ɕʰè/, t͡ɕʰèdaʊʔ, dú, lɛʔ, ʔətàʊɴ, baɪʔ, ʔù, lɛ̀bɪ́ɴ, t͡ɕɔ́, no̰, n̥əlóʊɴ, ʔəθɛ́, θaʊʔ, , kaɪʔ, soʊʔ, tʰwé, ʔàɴ, m̥oʊʔ, ʃù, jì, twḛ, t͡ɕá, θḭʃḭ, twé, ʔəna̰ɴ, bəjà, ʔeɪʔ, , θè, θaʔ, jàɴpʰjɪʔ, ʔəmɛ́laɪʔ, jaɪʔ, kaɪʔ, kʰwɛ́, tʰó, koʊʔ, tú, jèkú, jɪ̀ɴɡàʊɴ, ʃaʊʔ, là, mṵðá, tʰàɪɴ, jaʔ, l̥ɛ̰, t͡ɕa̰, pé, kàɪɴ, ɲ̊ɪʔ, pʊʔ, sʰé, θoʊʔ, sʰwɛ́, tʊ́ɴ, pjɪʔ, t͡ɕʰì/, t͡ɕʰoʊʔ, jè, sʰò, θət͡ɕʰɪ́ɴ, sʰɔ̰, mjɔ́, sí, , , nè, la̰, t͡ɕɛ̀, jè, mó, mjɪʔ, kàɴ, pɪ̀ɴlɛ̀, sʰá, t͡ɕaʊʔ, θɛ́, pʰòʊɴ, mjè, tèɪɴ, mjù, káʊɴɡɪ̀ɴ, lè, n̥ɪ́ɴ, jèɡɛ́, ʔəkʰó, mí, pjà, làʊɴ, láɴ, tàʊɴ, nì, séɪɴ, wà, pʰjù, nɛʔ, ɲa̰, nḛ, n̥ɪʔ, pù, ʔé, pjḛ, θɪʔ, háʊɴ, káʊɴ, sʰó, poʊʔ, ɲɪʔ, pʰja̰ʊɴ, wáɪɴ, t͡ɕʰʊ̀ɴ, tóʊɴ, t͡ɕʰɔ́, sò, t͡ɕʰaʊʔ, m̥àɴ, ní, wékwà, ʔəkʰwɪ̰ɴ, bɛ̀, m̥à, m̥à, n̥ɪ̰ɴ, nɛ̰, ka̰/, lo̰, ʔəmjì/
 na, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 nb, jæɪ̯, , , , dʉː, , ˈdɛn, , , , , , , , , , , , nuː.en, , , , , , , , , , , , , , kɔʈ, , , ²kʋɪnə, , , , , , , , , , , , , , , , , , , , , , , , , , , çœt, , , , , , , , , , , , , , , , , , , , han, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈsʋøme, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈstjæːɳə, ʋɑnː, , , , , , , sɑn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɾɛt, , poː, iː, meː, ɔ, , , 
 nd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ne, mɒ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ng, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 nl, ɪk, ɣɛi̯, ɦɛi̯, ʋɛi̯, jɛi̯, zɛi̯, ˈdeːzə, dɑt, ɦir, daːr, ʋi, ʋɑt, ʋaːr, ʋɑˈneːr, ɦu, nit, ɑl, veːl, ʋɑt, ˈʋɛi̯nəx, ˈɑn.dər, eːn, tʋeː, dri, vir, vɛi̯f, , lɑŋ, , dɪk, zʋaːr, klɛi̯n, kɔrt, nɑu, , vrɑu̯, mɛns, , kɪnt, vrɑu̯, mɑn, ˈmu.dər, ˈvaː.dər, dir, vɪs, ˈvoːɣəl, ɦɔnt, lœy̯s, slɑŋ, , boːm, ʋɑu̯t, , vrʏxt, zaːt, blɑt, ˈʋɔr.təl, sxɔrs, blum, ɣrɑs, , ɦœy̯t, vleːs, blut, beːn, vɛt, ɛi̯, ɦoːrn, staːrt, veːr, ɦaːr, ɦoːft, oːr, oːx, nøːs, mɔnt, tɑnt, tɔŋ, , vut, beːn, kni, ɦɑnt, , bœy̯k, , , rʏx, bɔrst, ɦɑrt, ˈleːvər, ˈdrɪŋkə(n), , ˈbɛi̯tə(n), ˈzœy̯.ɣə(n), , , ˈblaːzə(n), ˈaːdəmə(n), ˈlɑxə(n), zin, ˈɦoːrə(n), ˈʋeːtə(n), ˈdɛŋkə(n), ɣøːr, ɑŋst, ˈslaː.pə(n), ˈleːvə(n), ˈdoːtxaːn, ˈdoːdə(n), ˈstrɛi̯də(n), ˈjaːɣə(n), ˈraːkə(n), ˈsnɛi̯də(n), , ˈsteːkə(n), , ˈɣraːvə(n), ˈzʋɛ.mə(n), vlix, ˈloːpə(n), ˈkoːmə(n), ˈløː.ɣə(n), ˈzɪtə(n), staːn, ˈdraːi̯ə(n), ˈvɑlə(n), ˈɣeːvə(n), ˈɦɑu̯də(n), ˈklɛmə(n), ˈvrɛi̯və(n), ˈʋɑsə(n), ˈveː.ɣə(n), ˈtrɛkə(n), ˈdyu̯ə(n), ˈʋɛrpə(n), ˈknoːpə(n), ˈnaːjə(n), ˈtɛlə(n), ˈzɛɣə(n), ˈzɪ.ŋə(n), ˈspeːlə(n), ˈdrɛi̯və(n), ˈvlujə(n), bəˈvrizə(n), ˈzʋɛlə(n), , maːn, stɛr, ˈʋaːtər, ˈreː.ɣə(n), riːˈviːr, meːr, zeː, zɑu̯t, steːn, zɑnt, , ˈaːr.də, ʋɔlk, mɪst, ˈɦeː.məl, ʋɪnt, sneːu̯, ɛi̯s, roːk, vyr, ɑs, ˈbrɑndə(n), baːn, bɛrx, roːt, ɣrun, ɣeːl, ʋɪt, zʋɑrt, nɑxt, dɑx, jaːr, ʋɑr(ə)m, kɑu̯t, vɔl, niu̯, ɑu̯t, ɣut, slɛxt, rɔt, vœy̯l, rɛxt, rɔnt, sxɛrp, bɔt, ɣlɑt, nɑt, droːx, , , vɛr, rɛxt, lɪŋks, ɔp, ɪn, mɛt, ɛn, ɑ(l)s, ɔm.ˈdɑt, naːm
 nn, eːɡ, , , meː, dʉː, , , , , , , kʋɑː, , , ˈkʊrlæɪs, ²ɪçːə, , , , , , , , , , , , , , çʊkː, tʊŋː, , , , , ²kʋɪnːə, ²mɛnːɛʃə, , bɑːrn, , , , , , , fʉɡl, , , , , , , , , frøː, , ruːt, , bluːm, ɡrɑːs, , , çøːt, bluː, bæɪn, , ɛɡː, hʊrn, , fjøːr, hoːr, , , ²æʉɡə, , , tɑnː, , , fuːt, bæɪn, , hɑnd, , , , hɑls, , , ²jɑrtə, ˈleːʋɛr, , , , , , , , , , ʃoː, , , , , , , , , , , , , , , , , , ²sʏmjɑ, ²flʉːɡə, , , , , , , , , , , , , , , , , , , , ²sæɪɑ, ²sʏŋːjɑ, , , , , , suːl, , ²stjɛrnə, ˈʋɑtn̩, , , , hɑːʋ, , , sɑnd, , , ʃyː, , , , snøː, iːs, , ɛld, , , , fjɛlː, ræʉ, , , kʋiːt, , nɑtː, , oːr, , , , , ²ɡɑːmɑl, , , , ²ʃɪtːn̩, , , , , , , , , næːr, , rɛtː, , poː, iː, meː, oː, , , 
 no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , çɛp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 nr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
