word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
say,,ˈytlemɑ,sɐˈkʲiːtʲɪ,ˈʝutɤlːɑː,,,ˈytːlemæ,,kɛːʱ.nɑː,tʃeppu,tʰā,ˈɦɔvɔric,hauɖpo,,,paidu,tukud,,tʰkʰuälä,ɡəvɐˈrʲitʲ,ˈapɪɾʲ,egəʋə,,,annə,paɾajuga,waw˥˦,tʃollə,r̝iːt͡st,,bakʰna,ˈdiː.koː,ˈdi,ˈbɔla,ˈma̠ːɾɦa̠da̠,pə:ɭ,ˈzitʃe,klaːw˨˩,ˈsɑnuo,pa:ning,,ˈsɛjːa,,nɔj˧˦,ˈsɑnudɑ,ɣavaˈrɨt͡sʲ,a:ʋaɖə,,ˈzɔ.ɡŋ̩,,²sæɪɑ,seɪ,,diʁ,kella,heɭu,,,ˈzɛɣə(n),ˈmond,,di.ˈzeɾ,ˈdi.re,ɡofˈt̪ʰæn,paɾe,paɳaɾa,siːja,tʰkʰmä,xiɮəx,,,ˈrɛtʃi,ˈkazvəm,,ˈsɑnoɑ,en,,ɡuftæn,satsîːt,,,ˈabˠəɾʲ,,θɛm,ɑˈsɛl,ˈmu.vʲit͡ɕ,likʰwisg,sʰò,ˈkiːt̪ɨ,zaːɡən,,ipu,diˈθiɾ,ʋɐ́.d̪ɐ.t̪i,kaːŋ˥,in,qaː.la,ˈseiːja,søjlɛmɛc,sɛː,ɔtʰkʰu,bʰu:mi,kɛɦna,deˈθiɾ
big,ʋeˈlɪkei̯,ˈsuːr,,ˈsuːri,,,ˈsːuːr,,,pedda,,,be:ɖo,,,toɖut,muɾe,daŋɔɹ,didi,bɐlʲˈʂoj,,doɖɖadə,,,baljadə,ʋaludə,,peɾija,,,koha,,ˈɡɾan,,ˈɘːɾɯn,dappu,,,ˈsuːri,ballun,ˈɡɔlɛm,ˈvɵkˌsɛn,,,ˈsurʲ,,ittu:ɖə,,,be:ɾ,,bɪɡ,,ɡʁɑ̃,beɾɾa,doɖɖadu,,ɣaʈ,,ˈfɛlnøːtː,ɡaˈdɔl,mɐjˈɔɾ,ˈɡran.de,,baleji,malla,,didi,,,,,,,ˈiso,berto,,,,,,,,,mɛt͡s,dɔˈrɔ.swɨ,χɔʃä,,ˈsuːr,ɡʁoːs,,o̞to̞na̠,,,,pedda,ka.biːr,,,,didi,bʰu:mi,,maˈɟ͡ʝoɾ
sing,sʲpʲiˈu̯ɑte,ˈlɑulmɑ,dɐjˈnuɔtʲɪ,ˈlɑuluɑ,,,ˈlɑulmɑ,,ˈɡɑː.nɑː,,c̥riaṅ,,,,,,,ɡʊa,birä,pʲetʲ,,,ˈkɐntɐ,sønɡə,,,,,ˈspiːvat,,,ˈka.noː,kənˈta,,no̞ɾe̞ɦa̠da̠,,kɨnˈta,kʰap̚˨˩.rɔːŋ˦˥,ˈlɑuluɑ,,,,,haːt̚˧˦,ˈlɑuldɑ,,,,ˈzɪn.ɡn̩,,²sʏŋːjɑ,sɪŋ,oχumaχ,ʃɑ̃.te,,,,,ˈzɪ.ŋə(n),ˈeːnɛkɛl,,kɐ̃ˈtaɾ,kanˈtaːre,sʊɾuːˈd̪æn,,,,mʁɛrä,,,,ˈpɛ̀ːti,ˈpɛjə,ˈlaːvːluːh(t),ˈlɑulɑː,,,,dziɛ̂dâːt,ˈkanɨ̞,ˈzɑŋən,kanˠ,,kənˈdɔj,jɛɾˈkʰɛl,ˈɕpʲɛ.vat͡ɕ,liʁräl,θət͡ɕʰɪ́ɴ,ˈloulɨ,ˈzɪŋən,,ɯ̟ᵝta̠ɯ̟ᵝ,,,,,,ˈsiɲca,,səŋ,ɔbiru,,ɡaˈna,kanˈtaɾ
fat,,ˈrɑsʋ,rʲɪəbɐˈlɐɪ̯ˑ,ˈrɑzvɑ,,,ˈrɑsːɤv,,,koʋʋu (noun),k̥ʰlāñ´,tuk,nedʒdʒa,,,koɭupu,me:n,,gägäbi,ʐɨr,,koɭəppə,,fet,tʃeɾabi,koɻuppə,,koɻuppə,,,neʈa,ˈa.deps,,tʃorbi,t͡ɕiba̠ŋ,tanniʋi,,kʰaj˩˩˦.man˧,ˈrɑzvɑ,tʃaɾpi:,,fɛt,,məː˦ˀ˥,ˈrɑzv,,koɻəppə,ámafûːtʰa,,,,fæt,,ɡʁɛs,kodoʋo:s,kobbu,ˈli.pos,,vɛt,ˈʒiːr,,ɡoɹ.ˈdu.ɾa,ˈɡras.so,tʃærbiː,tʃiɾabi,tʃeɾabi,ˈfiːtɪ,tsχimi,oːx,,,,,,ˈrɑsʋɑ,koṛukuḍ,,,,ˈbrastɛr,,sˠail̠ʲ,,,t͡ʃɑɾp,twuʂt͡ʂ,mətʃχim,ʔəsʰì,ˈrɑzɑː,fɛt,,ɕibo̞ː,,,,koɾondʒ,,ˈfɪːta,ˈj‿a,,jäʁi,bʰu:mi,tʃərbiː,ˈɡɾasa
die,,ˈsuremɑ,ˈmʲɪrʲ.tʲɪ,ˈkoːlːɑ,,,ˈkːuːlmɑ,,məɾ.nɑː,tʃatʃtʃipo:ʋu,tāy,ˈumri̯ɛc,keəa:na:keəida:h,,,ta:ʋə,tukud,mɔɹ,ʁurä,ʊmʲɪˈratʲ,,sa:ʋadə,mɪːt,dø,tʃ:ɭa,maɾikkuga,taːj˩˧,tʃa:,ˈumr̝iːt,,kʰena,ˈmo.ri.or,muˈɾi,,t͡ɕuk̚t͈a̠,maɾdo:g,muˈri,taːj˧,ˈkuolːɑ,kahing,,,,t͡ɕet̚˧˦,ˈkoldɑ,,keɖuoisi,fá,,,,daɪ,œlˈmæk,mu.ʁiʁ,ɖollatam,sa:ji,peˈθeno,,ˈdoːtxaːn,ˈmɛkhɒl,,mu.ˈʁeɾ,moˈrire,moɾˈd̪æn,tʃa:ɭa,sajjaɾa,,sikʼvdili,,,,,oˈmiɾəm,ˈjaːpmiːh(t),ˈkuolːɑ,cay,,murdæn,mīɾt,,,,,vdɛs,mɛrˈnɛl,uˈmʲɛ.rat͡ɕ,dägrä,θè,ˈkuːolɨ,ˈʃtɛʁbən,mati,ɕinɯ̟ᵝ,,mɐ́.ɽɐ.t̪i,taːi˨˦,ha:,ˈmaːta,ˈteiːja,œlˈmɛc,,ʁurä,tigte:n,mərna,
name,iˈmjɑ,ˈnimi,ˈvɐrːdɐs,ˈnimi,*miŋ,iˈsɪ̞m,ˈnimi,,naːm,pe:ɾu,j̥ʰmoḥ,ˈmɛnɔ,na:mi,,,pe:ɾ,tukud,,säχɛli,ˈimʲə,,esaɾə,ˈiːsɛm,,peda,peɾə,sɯː˦˦,pe:ɾə,ˈjmɛːno,ˈnɑːv,na:me,,ˈnɔm,nam,iɾɯm,pja:ɾə,ˈnu.me,t͡ɕʰɯː˥˩,ˈnimi,pin,,namn,ɑt,ten˧˧,ˈnimi,jiˈmʲa,pe:ɾ,îːɡâːma,nɔmɛn,doru,,neɪm,ɑd,nɔ̃,pedeɾ,hesaru,ˈo̞no̞ˌma,,naːm,ˈneːv,,ˈno.mɨ,ˈno.me,nɒːm,pe:ɾu,pudaɾə,naun,säχɛli,nir,ˈd͡zí.na,,iˈméː,ˈimɛ,ˈnamma,ˈnimi,pidir,,nɔːm,vàːɾds,ˈɛnʊ,num,ˈanʲəmʲ,,ɛməɾ,ɑˈnun,ˈi.mʲɛ,ʒäχɛ,ʔəmjì/,ˈnim,ˈnaːmə,namə,na̠ma̠e̞,,n̪ɑ́ː.mɐn̪,,poɾol,ism,napn,ɑt̪,,dʒɔχɔ,pe:ɾ,,ˈnom.bɾe
rope,,ˈkøis,,ˈtʃøysi,,ɑrˈqɑn,ˈkːøytsː,,ɖoː.ɾiː,,k̥ʰsae,ˈɫanɔ,,,,,,zɔ.ɹi,tʰɔkʼi,vʲɪˈrʲɵfkə,,,,tɔv,,,,,,,,ˈfuː.nis,ˈkɔɾ.də,,pa̠t̚t͡ɕ͈uɭ,,,t͡ɕʰɯa̯k̚˥˩,ˈnuorɑ,,ˈjaʒɛ,,,zəj˧˧,ˈnor,vʲaˈrou̯ka,,íntaːmbo,,,,ɹəʊp,,kɔʁd,,,,,,ˈkøteːl,ˈχe.vel,ˈkɔɾ.dɐ,ˈkɔrda,,,,,tʰɔkʼi,,,,,vəˈʒɛ,,ˈkøysi,,,ærʁæmtʃin,àwkla,r̥aːf,zeːl,tʲiad̪ˠ,kɔrdɛn,liˈtaɾ,pɑˈɾɑn,ˈlʲi.na,tʰækʼw,t͡ɕó,ˈkie̞uʒ,zaɪ̯l,tali,,,,,,ħabl,ˈreiːpɪ,,,tʰɔkʼi,,,ˈkwerda
leg,,ˈsæːr,,ˈrihi,*rkaŋ.pa,ɑˈjɑq,ˈsːiːr,,,,joeṅ,ˈnɔɦa,,skoŋk,,,,bʱɔ.ɹi,kʼutʃχi,nɐˈɡa,kʰas,,ˈrɪd͡ʒɛl,beːn,,,kʰaː˩˨,,ˈnoɦa,,,kruːs,ˈka.mə,pa,ta̠ɾi,,,kʰaː˩˩˦,ˈsiæri,,,ˈbeːn,,t͡ɕən˧˧,ˈjɑug,naˈɣa,,uḿ̩leːnze,fʊs,,bæɪn,lɛɡ,,ʒɑ̃b,,,ˈpoði,,beːn,ˈlaːb,ˈʁɛɡɛl,ˈpɛɾ.nɐ,ˈɡamba,pɒː,,,,pʰɛχi,,ˈmʷe.ⁿdo,ˈkambo,nɔ̀ːɡa,krak,,ˈsæːri,,,,kāːja,koːɨ̯s,,kɔsˠ,ˈɡɑːr,kəm.bə,vɔtkʰ,ˈnɔ.ɡa,tʃʼiʃχ,t͡ɕʰèdaʊʔ,ˈjɑːlgɑ,baɪ̯n,kaki,kʲa̠kɯ̟ᵝ,,,ka˨˦,,ra.d͡ʒi.la,ˈfouːtʏr,badʒak,,kʼutʃχɛ,,,ˈpjerna
few,ˈmɑlo,ˈʋæhe,,ˈvæhæː,,æð,ˈveityʔ,,kʊt͡ʃʰ,,tic,ˈmaːlo,,,,,,,tʃʼitʃʼɛ,nʲɪˈmnoɡʲɪj,,,,fɔː,,,nɔːj˥˧,,ˈmaːlo,,,ˈpau̯.kus,ˈpɔk,,ˈt͡ɕɘːk̚t͈a̠,,puˈt͡sin,nɔːj˦˥,ˈvæhæine,,ˈmaɫku,foː,,ʔit̚˧˦,ˈvæhæ,,,,,,,fjuː,ɑz,pø,,,ˈliɣos,ləɡ,ˈʋɛi̯nəx,ˈkɛveːʃ,,ˈpow.kuʃ,ˈpɔ.ko,kʲæm,,,,tsɔtʼä,,,,mâlo,,,ˈʋæhæn,,,,,əˈχədɨ̞ɡ,,bʲɔɡ,,,kʰitʃʰ,ˈma.wɔ,mɔid,nɛ́,ˈve̞it̪ɨ,ˈveːnɪç,,sɨ̥ᵝko̞ɕi,,,,,qa.liːl,,ɑz,,mtsikʰä,,,
mountain,ɦɔˈrɑ,ˈmægi,ˈka͡l.nɐs,ˈmætʃi,*ri,tɑw,ˈmæki,,pə.ɦɑːɽ,konɖa,b̥ʰnṃ,ˈɦɔra,be:ɖo paha:ɖi,bɛrx,slʲuː,ʋe:ʈume,kappe,,gɔlä,ɡɐˈra,,male,,bjɛrv,kundə,mala,pʰu᷄ː,malai,ˈɦora,ˈt͡ʃiːjɑː,paɾta,mons,,pɔrbɔt,sʰa̠n,bəʈʈə,ˈmuntɛ,pʰuː˧,ˈmægi,maʃ,,bɛrj,tɑʁ,nuj˧˦,ˈmægi,,tiʈʈə,íntaːɓa,,,fjɛlː,ˈmaʊntɪn,,mɔ̃.taɲ,gubal,beʈʈa,ˈo̞ro̞s,ɣar,bɛrx,ˈhɛɟ,haʁ,mõ.ˈtɐ.ɲɐ,monˈtaɲɲa,kuːh,kundə,da:ɾi,fjatl,mtʰä,ʊːɮ,ˈpʰi.ɽi,,ɡɔ̀ːra,pləniˈna,ˈvaːrriː,ˈʋuori,tūk,,,kâlns,ˈmənɨ̞ð,biə̯χ,ʃlʲiəvˠ,,mal,lɛr,ˈɡu.ra,läχw,tàʊɴ,ˈmæg,bɛrk,ɡunoŋ,ja̠ma̠,monˈtaɲa̝,pɐ́ɽ.ʋɐ.t̪ɐ,pʲa˨˦,meʈʈa,d͡ʒa.bal,fjatl,dɑː,,gɔlä,danɖime:ʈ,pəhɑːɽ,monˈtaɲa
green,zeˈlɛnei̯,ˈroheline,,ˈrohoin,*ld͡ʑaŋ.kʰu,jæˈʃɪ̞l,ˈrohilinɤ,,ɦə.ɾɑː,patʃtʃa,paitṅ,ˈze̞.ɫe̞.niː,ɾanalo,ɣriə̯n,,patʃtʃə,tukud,xɛu.zia,tsʼvänɛ,zʲɪˈlʲɵnɨj,ˈuəɲə,patʃtʃe,ˈɐħdɐr,ɡrœn,patʃtʃe,patʃtʃa,,patʃtʃə,ˈzɛlɛniː,,haɾija:ɾ,ˈwi.ri.dis,ˈvɛɾt,,no̞ks͈e̞k̚,passla:ngi,ˈver.de,kʰia̯w˩˩˦,ˈvihrie,guanakki,,ɡrøːn,jeˈʃil,maw˨˩,ˈvihɑnd,zʲaˈlʲonɨ,patʃtʃai,,ɡʁin,a:kupatʃtʃa,,ɡɹiːn,jɑˈʃɯɫ,vɛʁ,patʃtʃa,hasiru,ˈpɾasinos,zərˈɣun,ɣrun,ˈzøld,jaˈʁok,ˈveɾ.ðɨ,ˈver.de,sæbz,patʃtʃe,patʃtʃe,,mtsʼvänɛ,,,ˈbert,zɛˈlɛ́n,zɛˈlɛn,,ˈʋihreæ,pay,,,zaʎʃ,ɡwɨ̞rð,ɡʀeŋ,ɡlˠasˠ,,ˈɟɛlbəɾ,kɑˈnɑt͡ʃʰ,ʑɛˈlɔ.nɨ,jərʒi,séɪɴ,ˈoːʎɑz,ɡʁyːn,hid͡ʒau̯,mʲido̞ɾʲi,ˈbeɾðe̝,,,patʃtʃad,ʔax.dˁar,kraitn,jeˈʃil,,χäntʃʼɛni,niguɾ,,ˈberde
earth,zeˈmlʲɑ,ˈmuld,ˈʒʲæːmʲeː,ˈmɑː,*sa,,ˈmɑː,ˈlu.paʔ,dʰərtiː,mannu,,ˈzɛm,bʰumi,,,bʰulo:gam,tukud,,diχä,zʲɪˈmlʲa,,,,joːr,mannə,mannə,,mannə,ˈzɛmjɛ,,kʰekʰel,ˈter.ra,ˈtɛ.rə,,xɯk̚,bu:mi,pəˈmɨnt,din˧,ˈmuɑ,ɖaga:ɾ,,juːɖ,,ʔɗət̚˧˦,ˈmɑ,zʲaˈmlʲa,koɖə,ínɬaɓâːtʰi,,bʰumi,,ɜːθ,torˈpɑχ,tɛʁ,maʈʈi,maɳɳu,,,ˈaːr.də,ˈtɒlɒj,adaˈma,ˈtɛʁɐ,ˈtɛr.ra,,,mannə,jøːɹ,mitsʼä,xors,,,ˈzɛ̀ːmlja,zɛˈmʲa,,ˈmɑː,tūk,ta.nah,,zɛmɛ,,,,,ðɛ,hɔʁ,ˈʑɛ.mʲa,gim,mjè,ˈmoː,ˈeːɐ̯də,bumi,d͡ʑi,,,,mannə,tur.ba,jœrð,topˈɾɑk,ˈɑːr.də,lɛtʼä,bʰu:mi,,ˈtje̞.ra̠
tree,,ˈpuː,ˈmʲæːdʲɪs,ˈpuː,*ɕiŋ,ɑˈʁɑs,ˈpːuː,,,tʃeʈʈu,ṭoemjʰoe,strɔm,bʰumi,bɪə̯m,ˈbilʲə,maɾam,tukud,ɡɔs,dʒä,ˈdʲerʲɪvə,,moɾa,ˈsɪdʒrɐ,trɛː,maɾa,maɾam,ton˥˧ mai˥˧,maɾam,strom,,mann,ˈar.bor,ˈa.bɾə,ɡɑs,na̠mu,meɾi,ˈarbore,ton˥˩.maːj˦˥,ˈpuː,dɾahkʰt,,,,kəj˧˧,ˈpu,ˈdreva,me:n,úmuːtʰí,bɔjm,paʈa,,tɹiː,ɑˈɣɑd͡ʒ,aʁbʁ,ma:ɾa,mara,ˈðe̞n.dro̞,ˈwəna,boːm,ˈfɒ,et͡s,ˈaɾ.vu.ɾɨ,ˈal.be.ro,deˈɾæxtʰ,maɾa,maɾa,tɹɛaː,χɛ,,mˈté.ᵑɡo,,drɛˈʋóː,dərˈvɔ,ˈmuo̯rra,ˈpuː,meri,po.hon,,kùoks,ˈkɔɨ̯dɛn,baːm,kɾˠaun̪ˠ,ɡwe,,t͡sɑr,ˈdʐɛ.vɔ,mɛgɛm,θɪʔpɪ̀ɴ,ˈpuː,baʊ̯m,pokokʔ,kɨ,,,fai˦˨,maɾa,,tʰrjɛː,a.át͡ʃ,bʊəm,ndʒä,ma:k,,ˈarbol
bite,,ˈhɑmːustɑmɑ,,ˈpurɤɑ,,,ˈhɑukːɑmɑ,,,koɾuku,kʰāṃ,,ko:hi,,,kaɖə,tukud,,χitʃuä,ɐtˈkusɨvətʲ,,katʃtʃə,,biːdə,kaɖi,kadikkuga,,kaɖi,ˈkou̯sat,,kʰatʃtʃna,ˈmor.de.oː,mo.səˈɡa,,muɾʌ̹t͈e̞da̠,kaɖi,muʃˈka,kat̚˨˩,ˈpurːɑ,kaat kanning,ɔdˈɡrizuva,,,kan˧˦,ˈpurdɑ,kuˈsat͡sʲ,paɾtʃiʈtʃi,lûːma,,katʃine,,baɪt,,mɔʁdʁ,koɾaka,kaḍi,ðaŋˈɡono,,ˈbɛi̯tə(n),ˈhɒrɒp,,muɾˈðeɾ,ˈmɔrdere,,kaɖi,tina:ɾa,,kʼbɛtʃä,xat͡səx,,,,ot̪ˈxapvəm,,ˈpurːɑ,kork,,ɡæzidæn,kuôst,knɔj,ˈbæi̯sen,,,kafˈʃɔj,kəˈtsɛl,,liqʰɛpʰ,kaɪʔ,ˈjɑmst̪ɨ,ˈbaɪ̯sn̩,ɡiɡet,ka̠mɯ̟ᵝ,,,,kask,ʕadˁ.dˁa,ˈpiːta,,,ɔkʼibinu,atekaʂin,,
wipe,,ˈpyhkimɑ,,ˈpyhtʃiæ,,,ˈpːyhkːmæ,,,,,,,,,,,mɔ.sa,tsʼiminduä,vɨtʲɪˈratʲ,,,,veskɘ,,,,,ˈuciːrat,,,ˈter.ɡoː,ə.ʃuˈɡa,,ɕ͈it̚t͈a̠,,,t͡ɕʰet̚˦˥,ˈpyhkie,,ˈbriʃɛ,,,law˧˧,ˈpyhktæ,,,,,,,waɪp,,e.sɥi.je,,,,,ˈveː.ɣə(n),ˈtørøl,ˈneɡev,ˌes.fɾe.ˈɡa(ɻ),aʃʃuˈɡare,,,,,tsʼmɛndä,,,ejsyˈɣa,,,,ˈpyːhkiæ,,,,slāwtsîːt,,,ˈkɪmʲɪlʲ,,,səɾˈpʰɛl,vɨˈt͡ɕɛ.rat͡ɕ,likʼwtsæni,θoʊʔ,ˈpuːst̪ɨ,ˈvɪʃn̩,,,,,,,ma.sa.ħa,,,,ɔtsʼimidu,,mɪʈanaː,limˈpjaɾ
river,rʲiˈkɑ,ˈjɤgi,ˈʊpʲeː,ˈʝɤgi,,jɯ̞ɫˈʁɑ,ˈjɤki,,nədiː,,dn̥le,ˈri̯ɛka,,,aunʲ,,,noɪ,mältsʼqʼäri,rʲɪˈka,,,ˈʃmɐːrɐ,,,,mɛː˧˧ nam˥˧,,ˈr̝ɛka,ˈt͡ʃɛm,,ˈfluː.men,ˈriw,nod̪i,ka̠ŋ,,rɨw,mɛː˥˩.naːm˦˥,ˈjogi,,,fluːd,,səwŋ͡m˧˧,ˈjogi,raˈka,,uḿ̩fuːla,,,,ˈɹɪvə,,flœv,,,,siŋd̪,riːˈviːr,ˈfojoː,naˈhaʁ,ˈʁi.u,ˈfju.me,ɾuːd̪,,,ɔaː,mdinärɛ,,mˈt͡sí.ⁿd͡ʒe,ˈrriw,ˈrèːka,rɛˈkɤ,ˈjohka,ˈjoki,,,rɵd,,ˈavɔn,flos,əunʲ,ˈstɛːr,,ɡɛt,ˈʐɛ.ka,tʃʼälæ,mjɪʔ,ˈjoug,flʊs,suŋai̯,kapa,ˈri.o̝,n̪ɐ.d̪íː,ta˧,,nahr,fljouːt,,rəˈfiːr,ɔrubä,,nədiː,ˈri.o̞
snow,ˈsʲnʲiɦ,ˈlumi,sʲnʲjæɡɐs,ˈlumi,*ɡaŋs,qɑr,ˈlumi,,bə.ɾəf,,b̥ril,ˈsɲɛx,,sniə,ˈʃnʲaxt̪ə,,,bɔɹɔf,tʰiri,sʲnʲek,,,,,,,,,sɲiːx,,,niks,ˈnew,bɔrɔf,nun,,zəˈpadə,hi˨˩.maʔ˦˥,ˈlumi,,,snøː,,twiət̚˧˦,ˈlumi,sʲnʲex,,íːǃʰwa,,,snøː,snəʊ,,nɛʒ,,,,wɑˈwra,sneːu̯,ˈhoː,ˈʃeleɡ,ˈnɛ.vɨ,ˈne.ve,,,,,tʰɔvli,t͡sʰas,,ˈnɛw,,snʲak,ˈmuo̯hta,ˈlumi,,,,snìɛks,ˈei̯ra,ʃnɜɪ,ˈʃnʲaxt̪ˠə,,,d͡zjun,ɕɲɛk,musw,n̥ɪ́ɴ,ˈlum,ʃneː,,⟨yuki1⟩,ˈnɛβɪ,ɦi.mɐ́,nai˨˦,,θald͡ʒ,snjouːr,kaɾ,sniu,mtʰviri,,,ˈnjebe
flower,ˈkʋʲitkɐ,ˈlilː,,ˈkukːɑ,*me.tok,sæsˈkæ,ˈhæitsːeʔ,,pʰuːl,,p̥ʰkā,ˈkvɛt,,blom,,,,pʰul,pʼɛuli,t͡svʲɪˈtok,,,ˈfjuːrɐ,,,,dɔːk˨˩ mai˥˦,,ˈkvjɛt,,,floːs,ˈflɔ,pʰul,k͈o̞t̚,,flo̯are,dɔːk̚˨˩,ˈkukːɑ,,,blʊ.ma,ɡyl,hwaː˧˧,ˈænik,,,ímbaːli,blʊm,,bluːm,ˈflaʊ.ə,t͡ʃiˈt͡ʃæk,flœʁ,,,ˈanθɔs,ɡwəl,blum,ˈviraːɡ,,ˈfloʁ,,ɡʊl,,,ˈblɔuma,qʼvävili,,ˈɗu.(w)a,,ˈtsʋéːt,t͡svʲat,ˈraːssiː,ˈkukːɑ,,,ɡul,,ˈblɔdɨ̞n,blum,bˠl̪ˠɑː,blœ̃w,ˈlulɛ,t͡sɑˈʁik,kfʲat,muʁwæ,páɴ,ˈputʲkɨz,ˈblyːtə,buŋə,pana,,púʂ.pɐ,,,zah.ra,plouːm,tʃɪˈtʃɛc,,pʰukʰiri,,pʰul,ˈfloɾ
think,ˈdumɐte,ˈmɤtlemɑ,,ˈduːmɑtɑ,,,ˈmɤtːlɤmɑ,,sotʃn̪aː,,yl´,ˈmisli̯ɛc,,,,,,bʱɔ.ba,gurtʃämä,ˈdumətʲ,,,ˈħaːsɛp,,,,,,ˈpr̝̊ɛmiːʃlɛt,ˈfɯkɯɾiːn,,ˈkoː.ɡi.toː,pənˈsa,,sʰe̞ŋɡa̠kʰa̠da̠,,ɡɨnˈdi,kʰit̚˦˥,ˈtuːmɑmɑijɑ,,,,,ŋi˦ˀ˥,ˈmeletɑdɑ,,,,,,,θɪŋk,dyʃynˈmæk,pɑ̃.se,,,ˈsceftome,,ˈdɛŋkə(n),ˈɡondolkodik,ħaˈʃav,pẽˈsaɾ,,ˌfekɾ kʲæɾˈd̪æn,,,,pʰikʰri,,ɡaˈni.za,,ˈmiːsliti,,ˈjurːttaʃih(t),ˈɑjɑtelːɑ,,pi.kir,,,ˈmɛðʊl,,capˠ,,mɛnˈdɔj,mətɑˈt͡sɛl,ˈmɨɕ.lɛt͡ɕ,liskʼɔrɛ,twé,ˈmɨt̪lɨ,ˈdɛŋkən,fike(r),kamukapu,,,,,,ˈhʏxsa,,dəŋk,ɔsimädu,,sotʃn̪aː,penˈsaɾ
split,,ˈlɤhestɑmɑ,,ˈhɑlkɤɑ,,,ˈlɑhkːi ɑjɑmɑ,,,,,,,,,,,pʰal,rtʰuälä,rəɕːɪˈplʲætʲ,,,,,,,,,,,,ˈskin.doː,pəɾˈti,,,,,,ˈhɑlːɑtɑ,,,deːla,,t͡ɕɛ˧˩,ˈhɑugoidɑ,,,,,,,splɪt,,fɑ̃dʁ,,,,,,ˈhɒʃiːt,,pɐɾ.ˈtiɾ,ˈfɛndere,,,,,qʼɔpʰä,,,,,,,ˈhɑlkɑistɑ,,,,,,,,,,,ˈd͡ʑɛ.lʲit͡ɕ,lirdɛ,kʰwɛ́,ˈloːgst̪ɨ,ˈʃpaltn̩,,ɰᵝa̠ɾɯ̟ᵝ,,,,,qa.sa.ma,ˈkʰlɔpna,,,ɔrtʰu,,,parˈtiɾ
skin,,ˈnɑhk,ˈôːd̪ɐ,ˈiho,,tʲi.ˈrɪ̞,ˈnɑhkː,ba.ˈlat,t̪ʋə.t͡ʃɑː,to:lu,s̥paek,ˈkɔʒa,tʃa:na,,ˈkraːɣən,to:lu,tal,sal,tʼqʼɛbi,ˈkoʐə,,to:lə,ˈdʒɪldɐ,,to:lə,toli,,to:lə,ˈkuːʒɛ,ˈt͡ʃɛɾm,tʃapʈa,ˈku.tis,ˈpeʎ,,sʰa̠ɭɡa̠t̚,to:lə,ˈpjele,pʰiw˩˩˦.naŋ˩˩˦,ˈnɑhkɑ,sil,,hʉːd,,zaː˧˧,ˈnɑhk,ˈskura,tu:ɾs,isíkʰuːmba,heɪt,,,skɪn,dæˈri,po,to:l,togalu,ˈðɛɾma,,ɦœy̯t,ˈbøːr,ɔʁ,ˈpɛ.lɨ,ˈpɛlle,poːst,to:lu,tʃeɾma,,kʼäni,arʲs,ˈkʰu.ᵑɡú,pɛl,ˈkòːʒa,ˈkɔʒə,ˈlijːkiː,ˈiho,tōl,,pɵːst,âːda,kroːɨ̯n,hæu̯t,ˈkɾˠacən̪ˠ,ˈkʁoːχɛn,ləkuɹə,mɑʃk,ˈsku.ra,kʼæn,ʔəjè,ˈnoːgɨ,haʊt,kulet,,,,naŋ˨˦,to:l,d͡ʒild,huːð,,,tʼkʼɛbi,to:l,t̪ʋətʃaː,
narrow,wʊˈzʲkɪi̯,ˈkitsɑs,,ˈɑhɑz,,ˈtɑr,ˈɑhtːɑkɤnɤ,,t̪əŋɡ,,cṅ̥ʾiat,ˈuːski,,,,,,,intsʼrɔ,ˈuskʲɪj,kʰɯːɫ̪,,,snɛvər,,,,,ˈuːskiː,,,anˈɡus.tus,əsˈtɾət,,,,strɨmt,kʰɛːp̚˥˩,ˈkɑidu,,,,,hɛp̚˧˨ʔ,ˈkɑid,ˈvuskʲi,,,,,,ˈnæɹoʊ,dɑr,e.tʁwa,,,,,nɑu,ˈsyːk,,iʃ.ˈtɾɐj.tu,ˈstretːo,,,,,vitsʼrɔ,narʲiŋ,,,ˈòːzək,ˈtɛsɛn,,ˈkɑpeɑ,,,,ʃàuɾs,kɨːl,,kuːŋ,,,nɛʁ,ˈvɔ̃s.kʲi,näχwtsʼi,t͡ɕɪ́ɴ,ˈoːd̪ɨz,ɛŋ,,se̞ma̠i,,,,,dˁaj.jiq,ˈθrøyŋkʏr,,,ndäri,,,es̺ˈtɾe.tʃo
